Smiles,DBAffinityReward,Reward,DBAffinityProperty,Epoch
C#Cc1ccc(-c2nnco2)cc1S[NH+]1CCc2ccccc2C1,7.995489552831763,7.995489552831763,7.995489552831763,0
C=CCOc1cccc(NC(C=O)C(C)[NH2+]C2CCC(C3COc4ccccc4O3)C2)c1,8.076736535656252,8.076736535656252,8.076736535656252,0
CS(=O)(=O)NC(=S)c1ccc(C=NCc2ccccn2)cc1,7.64604908190674,7.64604908190674,7.64604908190674,0
C=CCOc1ccc(C2Nc3ccccc3C3C=CCC32)cc1C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,8.691381984520358,8.691381984520358,8.691381984520358,0
COCCC(c1ccccc1)c1ccc(C=O)cc1S,7.644506903547136,7.644506903547136,7.644506903547136,0
CS(=O)(=O)c1cc(-c2ccc(N3CCCCC3)c(C3CCS(=O)(=O)C3)c2)ccc1[N+](=O)[O-],8.003299722722877,8.003299722722877,8.003299722722877,0
C=CCOc1ccc(C(=O)C(C)Oc2ccc(N=C)c(Cl)c2)cc1,7.6713576078009265,7.6713576078009265,7.6713576078009265,0
O=C(CSc1ccc(C2CCC(=O)N2)cc1)NC1CCN(Cc2ccccc2)CC1,8.379093540837166,8.379093540837166,8.379093540837166,0
O=C(C(=O)c1ccccc1C(F)OC1CCCC1O)c1nccs1,8.27173534255867,8.27173534255867,8.27173534255867,0
Cc1ccc(-c2ccc(-c3ccccc3N)cc2Cl)c(C2CCCC2)c1,8.665909905613717,8.665909905613717,8.665909905613717,0
CC(C)CC(=O)c1ccc(Cc2ccccn2)cc1NC(=O)C=O,8.245372919688226,8.245372919688226,8.245372919688226,0
c1ccc(C2CCC(C34CC5CC(CC(C5)C3)C4)C2)c(-c2cnc(-c3nnco3)nc2)c1,8.616159140609685,8.616159140609685,8.616159140609685,0
c1cc(-c2c[nH]c3cc(NCc4c[nH]c5ccccc45)ccc23)cc(C(NC2CCCO2)c2c[nH]c3ccccc23)c1,10.586809927432244,10.586809927432244,10.586809927432244,0
CCC(N)c1ccc(C(C(C)C)S(=O)(=O)NCc2ccccc2[N+](=O)[O-])cc1,8.365604099954572,8.365604099954572,8.365604099954572,0
C=CCO[NH+](c1ccc(C23CC4CC(CC(C4)C2)C3)c(-c2ccncc2)c1)C1CCCC1,8.865921640080963,8.865921640080963,8.865921640080963,0
CN(CC=O)c1ccc(C2CS(=O)(=O)CC2C2CCC([NH2+]C(N)c3c[nH]c4ccccc34)C2)cc1,8.684009194214024,8.684009194214024,8.684009194214024,0
