Smiles,DBAffinityReward,Reward,DBAffinityProperty,Epoch
C#Cc1ccc(-c2nnco2)cc1S[NH+]1CCc2ccccc2C1,-0.0,0.0,0,0
C=CCOc1cccc(NC(C=O)C(C)[NH2+]C2CCC(C3COc4ccccc4O3)C2)c1,-0.0,0.0,0,0
CS(=O)(=O)NC(=S)c1ccc(C=NCc2ccccn2)cc1,-0.0,0.0,0,0
C=CCOc1ccc(C2Nc3ccccc3C3C=CCC32)cc1C(c1ccccc1)c1ccc([N+](=O)[O-])cc1,-0.0,0.0,0,0
COCCC(c1ccccc1)c1ccc(C=O)cc1S,-0.0,0.0,0,0
CS(=O)(=O)c1cc(-c2ccc(N3CCCCC3)c(C3CCS(=O)(=O)C3)c2)ccc1[N+](=O)[O-],-0.0,0.0,0,0
C=CCOc1ccc(C(=O)C(C)Oc2ccc(N=C)c(Cl)c2)cc1,-0.0,0.0,0,0
O=C(CSc1ccc(C2CCC(=O)N2)cc1)NC1CCN(Cc2ccccc2)CC1,-0.0,0.0,0,0
O=C(C(=O)c1ccccc1C(F)OC1CCCC1O)c1nccs1,-0.0,0.0,0,0
Cc1ccc(-c2ccc(-c3ccccc3N)cc2Cl)c(C2CCCC2)c1,-0.0,0.0,0,0
CC(C)CC(=O)c1ccc(Cc2ccccn2)cc1NC(=O)C=O,-0.0,0.0,0,0
c1ccc(C2CCC(C34CC5CC(CC(C5)C3)C4)C2)c(-c2cnc(-c3nnco3)nc2)c1,-0.0,0.0,0,0
c1cc(-c2c[nH]c3cc(NCc4c[nH]c5ccccc45)ccc23)cc(C(NC2CCCO2)c2c[nH]c3ccccc23)c1,-0.0,0.0,0,0
CCC(N)c1ccc(C(C(C)C)S(=O)(=O)NCc2ccccc2[N+](=O)[O-])cc1,-0.0,0.0,0,0
C=CCO[NH+](c1ccc(C23CC4CC(CC(C4)C2)C3)c(-c2ccncc2)c1)C1CCCC1,-0.0,0.0,0,0
CN(CC=O)c1ccc(C2CS(=O)(=O)CC2C2CCC([NH2+]C(N)c3c[nH]c4ccccc34)C2)cc1,-0.0,0.0,0,0
CN(C)c1ccc(C(N)=O)cc1C1C=CC(C(=O)N2CCCC2)C1,-0.0,0.0,0,0
O=[N+]([O-])c1ccccc1-c1cc(-c2ncc(Cc3ccccc3)cn2)ccc1-c1ccc2c(c1)OCO2,-0.0,0.0,0,0
Cn1ncc2c1CC(c1ccc(NN)cc1-c1cc(-c3ccc([N+](=O)[O-])cc3)on1)CC2,-0.0,0.0,0,0
O=COC1CCOC1c1ccc(-c2cc(C(=O)C=O)cc3c2OCO3)cc1,-0.0,0.0,0,0
O=C(c1ccoc1)c1cc(C(F)(F)F)ccc1-c1ccoc1,-0.0,0.0,0,0
CCC(NC1=CC(C(=O)[O-])CC1)C(=O)C(NN)c1ccccc1,-0.0,0.0,0,0
O=C(c1cc(-c2cccc(OC34CC5CC(CC(C5)C3)C4)c2)ccc1N1CCCC1)C1C=CCC1,-0.0,0.0,0,0
OC1CCCN(c2cc(-c3ccc(C(F)(F)F)cc3Cl)ccc2-c2ccc3c(c2)OCO3)C1,-0.0,0.0,0,0
Nc1ccccc1CC(F)c1cc(Oc2ccccc2)ccc1Cc1ccccc1,-0.0,0.0,0,0
CS(=O)c1ccc(C2CCCC2O)cc1C1CCCC(c2cccc3cccnc23)C1,-0.0,0.0,0,0
O=C(c1ccccc1NCc1c[nH]c2ccccc12)C1C=CC(C2CC(Nc3ccccc3)CC2O)C1,-0.0,0.0,0,0
O=[N+]([O-])c1ccc(C2CCN(c3ccccc3NCc3c[nH]c4ccccc34)CC2C2CC2)cc1,-0.0,0.0,0,0
NC(=O)CSc1cc(-c2cc(C3Nc4ccccc4C4C=CCC43)ccc2Cc2ccccc2)cc2c1OCO2,-0.0,0.0,0,0
CCOC(=O)c1ccc(NCc2c[nH]c3ccccc23)cc1C(C)(C)OC=O,-0.0,0.0,0,0
O=S(=O)(c1ccc2c(c1)CC[NH2+]C2)c1ccc(-c2ccc3c(c2)CC[NH2+]C3)cc1N1CCOCC1,-0.0,0.0,0,0
COCCC(c1ccccc1)c1ccccc1C(C)C(N)N1CCCC1,-0.0,0.0,0,0
Smiles,DBAffinityReward,Reward,DBAffinityProperty,Epoch
O=S(=O)(NCN=Cc1ccc(C2CCCCC2)cc1)C(F)(F)F,-6.701956725941687,-6.701956725941687,6.701956725941687,1
C=CCOc1cc(C=N)ccc1C(=O)CN(C)N=C,-5.5347192972579,-5.5347192972579,5.5347192972579,1
CS(=O)C1CCCC(c2cc(C(O)F)ccc2C23CC4CC(CC(C4)C2)C3)C1,-8.363577654751658,-8.363577654751658,8.363577654751658,1
COCCc1ccc(C#N)c(-c2nc(NC(N)=O)cs2)c1,-7.694719493205139,-7.694719493205139,7.694719493205139,1
O=S(=O)(c1ccccc1)c1cc(-c2ccc(N3CCCC3)c(-c3ccoc3)c2)co1,-9.331685217068983,-9.331685217068983,9.331685217068983,1
C=CCOc1ccc(OC(F)C2CCCC2)cc1C(=O)[O-],-6.338714571512007,-6.338714571512007,6.338714571512007,1
O=S(c1ccccc1-c1ccnc2ccccc12)C(C=S)c1ccccc1,-9.333582327712517,-9.333582327712517,9.333582327712517,1
Cc1cc2c(c(-c3ccc4c(c3)OC(c3ccccc3C(F)(F)F)CO4)c1)OCO2,-8.435533753601801,-8.435533753601801,8.435533753601801,1
C#Cc1cc(S(=O)(=O)NC=S)ccc1C1CCCCC1,-7.776433966055444,-7.776433966055444,7.776433966055444,1
NC(=O)C(=O)N(c1ccccc1-c1coc(C(=O)[O-])c1)[SH](=O)=O,-7.009925002028348,-7.009925002028348,7.009925002028348,1
O=[SH]c1cc(S(=O)(=O)N2CCCCC2)ccc1N(C1CCCCCC1)[SH](=O)=O,-8.473723465608073,-8.473723465608073,8.473723465608073,1
CCC(NC(=S)c1ccnc2ccccc12)c1ccccc1C1CC1,-9.240675539558971,-9.240675539558971,9.240675539558971,1
CC1CCC(=O)N1C1Cc2c(cnn2C)C(NCC(=O)c2ccccc2)C1,-8.822557634443351,-8.822557634443351,8.822557634443351,1
CC(F)(c1cc(C2CCN([SH](=O)=O)CC2)ccc1NC(=O)CS)C1CCCO1,-7.748947965517206,-7.748947965517206,7.748947965517206,1
CC(C)Cc1ccccc1C1CCCC(C2CC(C=N)Cc3c2cnn3C)C1C,-9.1250242584251,-9.1250242584251,9.1250242584251,1
CC(C)Nc1ccc(C(NC2CC2)C(C)C)cc1-c1ccc2c(c1)OCO2,-7.692582745997268,-7.692582745997268,7.692582745997268,1
CC(SC1CCN([SH](=O)=O)CC1)C(=O)c1ccc(C2COc3ccccc3O2)cc1-c1ccccc1N,-8.435087811510696,-8.435087811510696,8.435087811510696,1
O=C(NC(S)S(=O)(=O)c1ccccc1)c1ccccc1S,-7.809979481305338,-7.809979481305338,7.809979481305338,1
O=C([O-])C1COc2ccc(-c3cccc(-c4cc([SH](=O)=O)ccc4[N+](=O)[O-])c3)cc2O1,-8.721399722795411,-8.721399722795411,8.721399722795411,1
CC(C)(NOC=O)c1ccccc1NC(=O)C(=O)NC(N)=O,-7.344708141282676,-7.344708141282676,7.344708141282676,1
O=CCNc1ccc(-c2ccoc2)cc1C(NC12CC3CC(CC(C3)C1)C2)c1c[nH]c2ccccc12,-8.723444296616465,-8.723444296616465,8.723444296616465,1
O=Cc1cccc(C(c2ccccc2)c2ccc3c(c2)C2C=CCC2C(NCc2c[nH]c4ccccc24)N3)c1,-9.222385834470572,-9.222385834470572,9.222385834470572,1
O=S(=O)(c1ccc(S(=O)(=O)N2CCC(c3ccccc3)CC2)cc1)C(F)Oc1ccc2c(c1)OCO2,-8.328132982220536,-8.328132982220536,8.328132982220536,1
CC(=O)c1cc(NC(=S)c2ccccc2)ccc1-c1cccc(O)c1,-9.326463194009667,-9.326463194009667,9.326463194009667,1
C=CCOC(=O)C(=O)c1cc(C(=O)[O-])ccc1-c1ccoc1,-6.88955925142463,-6.88955925142463,6.88955925142463,1
c1ccc(Cc2ccc(C3CCCCCC3)c(NC3CC3)c2)nc1,-8.71753676274696,-8.71753676274696,8.71753676274696,1
O=S1(=O)CCC(c2ccc(-c3cccc(Cl)c3)c(C(F)CC3CCCNC3)c2)C1,-9.0033072939115,-9.0033072939115,9.0033072939115,1
CC(c1cccc(C2CCOC2N(C)CC(=O)C2CCCCC2)c1)C(N)C=O,-7.80115133096599,-7.80115133096599,7.80115133096599,1
N#Cc1ccc(C2CS(=O)(=O)CC2N2CCCC(O)C2)cc1-c1ccccc1Cl,-6.588771137078399,-6.588771137078399,6.588771137078399,1
C=CCOc1ccc(-c2ccoc2)cc1Cc1ccccn1,-6.45990429394961,-6.45990429394961,6.45990429394961,1
CCC(Nc1cccc(-c2ccoc2)c1)C(=O)C(C)C(N)C=S,-8.314642360544019,-8.314642360544019,8.314642360544019,1
Oc1ccc(-c2ccc3c(c2)C2C=CCC2C(c2ccon2)N3)c(NC2CC2)c1,-9.398533771914009,-9.398533771914009,9.398533771914009,1
O=C([O-])C1C=C(c2cc(-c3cc(C4CCN([SH](=O)=O)CC4)ccc3-c3ccon3)on2)CC1,-9.043289657052917,-9.043289657052917,9.043289657052917,1
