Smiles,DBAffinityReward,Reward,DBAffinityProperty,Epoch
O=CCc1ccc(C[SH](=O)=O)cc1,-3.570175859274944,-3.570175859274944,3.570175859274944,100
CCc1ccc(C[SH](=O)=O)cc1,-3.9991888804382136,-3.9991888804382136,3.9991888804382136,100
O=[SH](=O)Cc1ccc(CO)cc1,-4.298595831460174,-4.298595831460174,4.298595831460174,100
O=[SH](=O)Cc1ccc(CO)cc1,-3.4282632210556963,-3.4282632210556963,3.4282632210556963,100
N=CS(=O)(=O)c1ccc(CO)cc1,-5.216289675464415,-5.216289675464415,5.216289675464415,100
Cc1ccc(CNC(C)(C)[SH](=O)=O)cc1,-4.8359985286973455,-4.8359985286973455,4.8359985286973455,100
CNCCc1ccc(C[SH](=O)=O)cc1,-5.77949998046246,-5.77949998046246,5.77949998046246,100
OCc1ccc(CO)cc1,-4.155533012511414,-4.155533012511414,4.155533012511414,100
O=[SH](=O)Cc1ccc(CCN[SH](=O)=O)cc1,-5.128911564134994,-5.128911564134994,5.128911564134994,100
O=C([O-])c1ccc(S(=O)(=O)O)cc1O,-3.289178988994493,-3.289178988994493,3.289178988994493,100
O=C([O-])c1ccc(S(=O)(=O)CO)cc1,-4.253660848550075,-4.253660848550075,4.253660848550075,100
C=CS(=O)(=O)c1ccc(S(=O)(=O)O)cc1,-4.571529089658032,-4.571529089658032,4.571529089658032,100
O=S(=O)(O)c1ccc(CO)cc1,-3.37853499454516,-3.37853499454516,3.37853499454516,100
NCc1ccc(CCl)cc1,-4.4140930305939365,-4.4140930305939365,4.4140930305939365,100
CC(O)c1ccc(C(=O)[O-])cc1,-4.853870811935006,-4.853870811935006,4.853870811935006,100
O=[SH](=O)Cc1ccc(CO)cc1,-4.861360604971314,-4.861360604971314,4.861360604971314,100
Cc1ccc(C(Cl)C(=O)[O-])cc1,-4.807266420160389,-4.807266420160389,4.807266420160389,100
O=CCc1ccc(S(=O)(=O)O)cc1,-4.666167239873708,-4.666167239873708,4.666167239873708,100
